id,player_id,adp,pos_rank,full_name,position,team,date
ff2e5025-2e5a-42f1-b618-d49879ee4137,d182f0d3-7e53-445e-b61b-c7d4bd8fcb08,103.3,WR50,Mike Williams,WR,LAC,2024-05-05
34410741-ef23-47e5-b6b4-ec1786d934fa,3cf29d08-26b6-410a-bd8c-f229a5bae324,103.3,QB12,Brock Purdy,QB,SF,2024-05-05
c4ee1373-10f2-47bb-a333-0bbc1047fee3,6328d647-7cbf-4947-8a78-b7a62284baa3,104.4,RB31,Nick Chubb,RB,CLE,2024-05-05
4cdb965b-ad70-4a6d-9ab5-2d106a11b98f,b3fc6404-a8a0-4475-8276-209e50b74069,105.2,RB32,Javonte Williams,RB,DEN,2024-05-05
63578ada-4ed4-4316-9f8a-e9aabc341a12,b51ef827-ba15-4a30-87f5-1a74d1bd84bf,107.6,WR52,Courtland Sutton,WR,DEN,2024-05-05
7e7c2085-c78c-4d08-b286-0fe4e199a8b0,7e6000de-0a9b-4d12-862b-5194ce6d526c,108.8,RB33,Austin Ekeler,RB,LAC,2024-05-05
d29d0594-1f4b-4108-8592-046e49e5257f,7da829d5-a014-412b-9db5-5c865cfe8534,110.2,WR53,Tyler Lockett,WR,SEA,2024-05-05
b24c197a-b8e2-4ddf-8d0e-b97e30059d08,d3bfa7f1-2be2-4bbb-8d13-c1a8010eeb9a,110.8,QB13,Tua Tagovailoa,QB,MIA,2024-05-05
8f945f72-643c-468a-92f0-5ce4eea02376,63374c3e-26cc-4d22-a77a-e29b8f5b2f4a,112.3,RB34,Brian Robinson,RB,WAS,2024-05-05
b95bd706-6b49-482b-9767-182b062dd5b1,0c0803d6-711a-4685-9ac9-bf339950760c,113.2,TE12,Dallas Goedert,TE,PHI,2024-05-05
eab97f05-41eb-44dd-bcd6-b1164453d78f,8787ffdd-7fc0-4f90-9f40-c1ab2e7692fe,113.5,WR54,Romeo Doubs,WR,GB,2024-05-05
afbfb86b-62fa-4d76-850e-106a8bef1227,a9cb4689-5707-40ca-9200-c8c4238c8636,115.2,RB35,Devin Singletary,RB,HOU,2024-05-05
14655452-ddcb-4917-b5d6-16cba10df015,228a3bf6-f9f3-412c-afe0-5768c4d03c49,115.7,WR55,Khalil Shakir,WR,BUF,2024-05-05
1c0b3cb2-0f1f-4404-af12-058599ce167f,f725a2b2-1843-4ab5-aa2a-bf1380a923e6,115.7,QB15,Jared Goff,QB,DET,2024-05-05
